image_name,1B,2B,3B,4B,5B,6B,7B,8B,9B,10B,11B,12B,13B,14B
test_1.png,70,55,53,49,54,66,70,68,5,80,69,,,
test_3.png,73,54,55,70,77,40,54,40,42,54,50,,,
test_5.png,64,10,48,44,55,40,50,30,42,64,50,,,
test_7.png,70,74,74,76,78,79,72,78,73,68,74,,,
test_9.png,64,46,54,57,78,73,70,73,72,50,,,,
test_11.png,72,68,75,70,58,73,72,72,78,81,,,,
test_13.png,72,72,30,40,50,50,50,68,45,45,,,,
test_15.png,43,38,65,50,54,45,73,45,10,50,,,,
test_17.png,73,50,50,68,73,68,40,73,68,41,,,,
test_19.png,64,40,74,65,65,73,78,67,50,68,,,,
test_21.png,72,50,85,85,72,73,75,75,78,68,,,,
test_23.png,50,73,83,73,58,78,73,73,64,76,,,,
test_25.png,72,83,72,75,78,76,73,72,50,53,,,,
test_27.png,75,76,74,74,75,73,75,76,76,72,,,,
test_28.png,65,40,40,40,38,74,,,,,,,,
test_30.png,78,45,58,59,40,48,,,,,,,,
test_32.png,50,68,48,65,66,70,,,,,,,,
test_34.png,68,50,50,64,50,66,,,,,,,,
test_36.png,66,46,55,73,50,53,,,,,,,,
test_38.png,50,73,66,80,75,73,80,73,53,80,,,,
test_40.png,73,54,55,73,78,73,67,80,75,73,,,,
test_42.png,73,75,72,67,68,78,70,73,80,79,,,,
